wordid,lemma,N
105077,programme,9
105613,prove,9
106828,"put up",9
108162,rake,9
108189,ram,9
108929,reason,9
109121,recognize,9
109655,reel,9
109760,reform,9
110246,remit,9
110282,remove,9
110465,repose,9
129560,system,9
129979,"take off",9
130198,tame,9
130859,tear,9
130909,technical,9
131173,tell,9
131209,temper,9
131540,terminal,9
132634,thread,9
133203,tilt,9
133692,toe,9
133935,tonic,9
134133,torment,9
134220,toss,9
135028,travel,9
135226,trench,9
124097,spirit,9
124301,sponge,9
124376,sport,9
124498,spray,9
125078,stain,9
125220,standing,9
126562,strand,9
126720,strength,9
127019,stub,9
127660,substitute,9
128683,survey,9
100172,pickup,9
100333,pig,9
100794,pipe,9
101222,plane,9
101637,pledge,9
101837,plumb,9
101860,plume,9
102427,poll,9
103115,pose,9
104213,preserve,9
104311,pressure,9
104426,price,9
136109,tube,9
136185,tug,9
136465,"turn over",9
136685,twin,9
142708,wake,9
142775,wall,9
142894,want,9
142901,wanton,9
143678,wedge,9
144080,wet,9
144268,whirl,9
145417,wire,9
145535,withdrawal,9
146049,world,9
146640,yard,9
142335,void,8
142951,ward,8
143623,web,8
144210,whiff,8
144619,whole,8
145218,window,8
145706,wood,8
145966,"work out",8
146126,worry,8
146252,write,8
146721,yellow,8
129667,table,8
129761,tackle,8
129985,"take over",8
130299,tank,8
130384,tape,8
131423,tense,8
131528,term,8
132383,third,8
132628,thrash,8
133018,tick,8
133974,tool,8
134148,torpedo,8
134448,toy,8
134648,trail,8
134937,transpose,8
135433,trick,8
117177,seize,8
117646,send,8
118694,sharpen,8
118803,sheer,8
119092,shit,8
119391,shoulder,8
120970,skip,8
120984,skirt,8
121078,slam,8
121431,slot,8
121632,smear,8
121889,snatch,8
121895,sneak,8
92252,occupy,8
93605,opposition,8
95170,overcast,8
95400,overturn,8
96622,parallel,8
96849,park,8
97745,peak,8
97829,peck,8
111198,reversal,8
111306,reward,8
111590,rib,8
111748,riddle,8
111936,rim,8
113188,row,8
113263,rubber,8
113525,"run out",8
113684,rust,8
115312,savage,8
115646,scatter,8
116088,scoop,8
116109,scorch,8
104516,primary,8
104956,produce,8
104966,production,8
104988,professional,8
105088,progressive,8
105192,prompt,8
105246,propagate,8
106490,puncture,8
106623,purple,8
106808,"put down",8
107493,quick,8
108001,rage,8
108237,ramp,8
108804,reader,8
108808,reading,8
108822,ready,8
109048,recess,8
109115,recognise,8
109117,recognition,8
109724,reflection,8
110031,reject,8
110085,relax,8
110221,remember,8
110351,rent,8
110387,repair,8
86936,motion,8
88815,national,8
89782,neutral,8
90202,night,8
90575,node,8
91538,now,8
91795,nut,8
136487,turner,8
136840,type,8
138663,unknown,8
139800,uprise,8
140169,utility,8
123433,spark,8
123665,speech,8
124157,spit,8
124745,squat,8
124987,stack,8
124999,staff,8
125119,stalk,8
126349,stool,8
126354,stoop,8
126423,storm,8
126582,strap,8
126758,stress,8
127087,stump,8
127451,submarine,8
127639,substance,8
127768,suck,8
128014,sum,8
128535,surcharge,8
128591,surge,8
99026,peso,8
100155,picket,8
100367,piggyback,8
100471,pilot,8
100785,pip,8
101773,plot,8
101807,pluck,8
101942,ply,8
102364,polish,8
103062,porter,8
103073,portion,8
104116,preparation,8
104121,prepare,8
104353,pretend,8
67854,import,8
67914,impress,8
68336,inclination,8
68338,incline,8
68594,index,8
69074,inferior,8
69165,influence,8
69375,initiate,8
69462,innocent,8
69596,insert,8
69944,interchange,8
70005,interior,8
71813,jar,8
72907,jumper,8
73117,k,8
80395,machine,8
81535,maneuver,8
81676,manoeuvre,8
81785,map,8
83551,mellow,8
84110,mess,8
84484,mi,8
84894,mile,8
85362,mint,8
85381,minute,8
85802,mobile,8
61295,hail,8
61590,halt,8
43516,erupt,8
43719,establish,8
44604,excite,8
44901,experience,8
45561,faint,8
45627,fake,8
45831,family,8
47379,fault,8
47449,fear,8
47502,feature,8
48128,fiddle,8
74170,kite,8
75817,lather,8
75916,launch,8
76302,leap,8
77040,let,8
77068,letter,8
77774,lime,8
77800,limited,8
78813,loft,8
79308,loss,8
57540,"get up",8
57631,giant,8
58264,gloss,8
58474,"go down",8
59095,gothic,8
59178,grab,8
59543,grate,8
59563,grave,8
60785,gun,8
60906,gutter,8
49536,floater,8
49662,flourish,8
49994,foil,8
50017,foliate,8
50515,formal,8
51548,fringe,8
51694,frost,8
52437,gall,8
52842,gas,8
31274,crawl,8
31300,cream,8
31400,creep,8
31536,crib,8
32359,culture,8
32532,curl,8
34051,deadly,8
34092,dear,8
34100,death,8
34249,decay,8
34362,declare,8
35507,derivation,8
35856,determine,8
652,about,8
1008,access,8
2049,admit,8
2186,advanced,8
2695,age,8
2938,ahead,8
4337,alto,8
5654,angle,8
37229,discover,8
37338,dish,8
37564,display,8
37717,distance,8
37832,ditch,8
37905,divide,8
38148,dog,8
38583,dot,8
38983,drain,8
39097,dream,8
39610,duck,8
39812,duplicate,8
40911,effect,8
41628,elevation,8
25149,circuit,8
25272,cite,8
25697,classical,8
25773,claw,8
26259,closure,8
26698,cock,8
27173,collect,8
27481,comb,8
28651,conduct,8
28951,conjugate,8
29867,copy,8
30304,corrupt,8
19074,cable,8
19633,calm,8
19912,can,8
20169,cannon,8
20697,captain,8
22390,cement,8
22924,chafe,8
23421,charm,8
23496,chatter,8
12565,beaver,8
15256,"blow up",8
16152,boost,8
16314,bosom,8
16367,bother,8
16887,branch,8
17089,"break down",8
17410,"bring up",8
17570,broadside,8
17752,brown,8
18086,buff,8
18329,bump,8
6683,apart,8
7830,arm,8
8498,ascend,8
8651,aside,8
8849,assign,8
8885,association,8
6518,antique,7
6958,appear,7
7046,application,7
7424,arch,7
7709,argument,7
7769,arise,7
8004,arouse,7
8014,arrange,7
8331,articulate,7
8661,ask,7
8794,assault,7
8916,assumption,7
9536,attachment,7
9946,authority,7
10293,awful,7
10434,b,7
10499,baby,7
10657,backfire,7
10727,backward,7
10885,bail,7
12108,battery,7
37143,discipline,7
37561,displacement,7
37813,disturbance,7
38079,doctor,7
38395,don,7
38492,dope,7
38771,douse,7
39023,drape,7
39029,draught,7
39158,dressing,7
39175,dribble,7
39308,drone,7
39654,due,7
39758,dun,7
39870,dust,7
40278,east,7
41263,elbow,7
41568,element,7
41670,eliminate,7
42405,endure,7
42424,energy,7
42460,engaged,7
42461,engagement,7
31150,cramp,7
31320,crease,7
31500,crest,7
31640,critical,7
31841,crossing,7
31982,crude,7
32015,crunch,7
32202,cube,7
32494,curb,7
32723,"cut off",7
32724,"cut out",7
33033,cypher,7
33395,damage,7
33455,dampen,7
33479,dance,7
34041,deaden,7
34272,decent,7
34337,deck,7
34606,defend,7
34754,degree,7
34863,delicacy,7
34864,delicate,7
34903,delivery,7
35274,deny,7
35364,dependent,7
35720,desperate,7
35813,detail,7
35964,devil,7
36145,diagonal,7
334,a,7
419,abandon,7
836,abuse,7
985,accent,7
999,acceptance,7
1015,accession,7
1055,accommodate,7
1451,acquire,7
1712,acute,7
1807,add,7
2085,adopt,7
2474,affinity,7
2767,aggregate,7
2866,agree,7
3534,alert,7
3760,alive,7
4050,allowance,7
4964,amount,7
5830,animate,7
12488,bearing,7
12868,behind,7
13242,bent,7
15216,bloom,7
15460,bluff,7
15486,blur,7
15499,bluster,7
15750,boil,7
16321,boss,7
16752,bracket,7
16810,brain,7
16857,brake,7
16950,brass,7
17144,breast,7
17826,browse,7
18137,bug,7
18316,bum,7
18364,bundle,7
18538,burning,7
18605,bus,7
24856,chuck,7
25127,cipher,7
25558,clash,7
26387,clump,7
26496,coach,7
26799,cod,7
27510,combination,7
28038,communicate,7
28072,community,7
28150,compass,7
28213,complement,7
28484,concentration,7
28508,concern,7
28602,condense,7
28704,confederate,7
29091,conservative,7
29216,construct,7
29217,construction,7
29478,contrary,7
29481,contrast,7
29573,conventional,7
29630,convey,7
29678,cook,7
30027,cork,7
30248,correction,7
19534,"call in",7
19838,campaign,7
20272,canvas,7
20362,caper,7
22089,cause,7
22326,cell,7
22761,certain,7
22973,chair,7
23454,chase,7
23546,"check out",7
23594,cheer,7
23850,chestnut,7
24078,chill,7
24609,chorus,7
98473,percolate,7
98625,period,7
98806,perpendicular,7
99052,pet,7
99968,physical,7
100619,ping,7
100641,pink,7
101171,plague,7
101208,plan,7
101878,plump,7
101895,plunk,7
102190,poise,7
102192,poison,7
103163,possession,7
103878,precipitate,7
104200,presentation,7
104572,primitive,7
104647,principal,7
104792,prize,7
104983,profess,7
105019,profile,7
105161,promenade,7
105319,proportion,7
105416,prospect,7
105474,protection,7
105628,provide,7
106401,pulp,7
106416,pulse,7
106577,pure,7
106618,purl,7
106804,"put away",7
106944,pyramid,7
107198,qualify,7
107204,quality,7
107463,quest,7
107617,quiver,7
107777,racket,7
107828,radiation,7
108519,rate,7
108773,reaction,7
109296,red,7
109685,refer,7
109719,reflect,7
109743,reflexion,7
109826,refuse,7
109942,regulation,7
110087,relaxation,7
110095,relay,7
110313,rendering,7
110404,repeat,7
110451,replication,7
110488,representative,7
116874,secondary,7
117925,sequence,7
118023,series,7
118221,"set off",7
118262,setting,7
118268,settlement,7
118598,shame,7
118700,sharpness,7
118714,shave,7
118873,shelter,7
119060,shipwreck,7
119223,shop,7
119614,siamese,7
120264,sin,7
120367,singular,7
120885,skid,7
121120,slate,7
121515,slur,7
121768,smother,7
121805,snag,7
121879,snare,7
121884,snarl,7
122061,snuff,7
122135,sober,7
122154,social,7
122399,soften,7
122543,sole,7
122632,solitary,7
122645,solo,7
122835,sop,7
142380,volley,7
142423,volunteer,7
142824,wallow,7
143052,"wash out",7
145151,win,7
145331,wink,7
145468,wise,7
145561,witness,7
146158,wound,7
146174,wrap,7
146200,wrench,7
146220,wright,7
146225,wrinkle,7
129520,synthetic,7
129946,"take away",7
130155,tally,7
130264,tang,7
130891,teaser,7
131404,tenor,7
132745,thrill,7
132802,through,7
132881,thunder,7
133027,ticket,7
133332,tin,7
133723,together,7
134204,torture,7
134234,total,7
134809,transform,7
